Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
ES,01M063,The STAR Academy - P.S.63,01M063KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M064,P.S. 064 Robert Simon,01M064KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M110,P.S. 110 Florence Nightingale,01M110GTD,District Gifted & Talented,District G&T,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M110,P.S. 110 Florence Nightingale,01M110KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,02M077,P.S. 77 Lower Lab School,02M077GTD,District Gifted & Talented,District G&T,Priority to applicants eligible for free or reduced price lunch (based on family income) for 12% of Kindergarten seats,
ES,02M089,P.S. 89,02M089KG,Kindergarten,Zoned,,
ES,02M116,P.S. 116 Mary Lindley Murray,02M116KG,Kindergarten,Zoned,,
ES,01M134,P.S. 134 Henrietta Szold,01M134KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M140,P.S. 140 Nathan Straus,01M140KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,01M140,P.S. 140 Nathan Straus,M140S,Nathan Straus Preparatory School (P.S. 140),Screened,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; On-Site Assessment
ES,01M142,P.S. 142 Amalia Castro,01M142KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M184,P.S. 184m Shuang Wen,01M184CH,Chinese Dual Language,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,01M184,P.S. 184m Shuang Wen,M184S,Shuang Wen (P.S. 184) Chinese Dual Language Program,Screened: Language,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",4th Grade New York State ELA and Math Exams; Attendance; ELL Status; Final 4th Grade Report Card; Home Language; Lateness; On-Site Assessment
MS,02M104,J.H.S. 104 Simon Baruch,M104M,Academic (Zoned Program),Screened,,Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,04M171,P.S. 171 Patrick Henry,04M171KG,Kindergarten,Zoned,,
ES,01M188,P.S. 188 The Island School,01M188KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M188,P.S. 188 The Island School,01M188SP,Spanish Dual Language,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,01M188,P.S. 188 The Island School,M188S,The Island School (P.S. 188),Screened,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,01M292,Orchard Collegiate Academy,M46X,Orchard Collegiate Academy,Ed. Opt.,,"Attendance; Course Grades: Average; Punctuality; Regents; Standardized Test Scores: English Language Arts, Math"
ES,01M315,The East Village Community School,01M315KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,01M332,University Neighborhood Middle School,M332R,Next Generation Extended Learning @ NYU,Screened,,Academic and Personal Behavior Scores; Attendance; Lateness
MS,01M332,University Neighborhood Middle School,M332S,University Neighborhood Middle School,Screened,,Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,01M361,The Children's Workshop School,01M361KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,02M104,J.H.S. 104 Simon Baruch,M104N,Special Progress,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,02M111,P.S. 111 Adolph S. Ochs,02M111GTD,District Gifted & Talented,District G&T,,
ES,02M111,P.S. 111 Adolph S. Ochs,02M111KG,Kindergarten,Zoned,,
MS,02M114,East Side Middle School,M114M,East Side Middle School,Screened,Priority to applicants eligible for free or reduced price lunch for 20% of seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,01M363,Neighborhood School,01M363KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M364,Earth School,01M364KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,01M378,School for Global Leaders,M378L,School For Global Leaders,Limited Unscreened,,
MS,01M378,School for Global Leaders,M378M,School for Global Leaders Mandarin Dual Language Program,Screened: Language,,On-Site Assessment
HS,01M448,University Neighborhood High School,M35A,CTE Hospitality and Tourism,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,01M448,University Neighborhood High School,M35B,Bilingual Mandarin,Screened: Language,,
HS,01M448,University Neighborhood High School,M35C,University Neighborhood Early College,Screened,,Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
MS,01M450,East Side Community School,M450S,East Side Community School,Screened,Priority to applicants eligible for free or reduced price lunch for 70% of seats,"Attendance and Punctuality; Attendance at an Information Session, Open House or School Tour; Demonstrated Interest: School Visit or Written Contact; Final 4th Grade Report Card"
HS,01M450,East Side Community School,M58A,East Side Community,Screened,Priority to applicants eligible for free or reduced price lunch for 70% of seats,Attendance; Course Grades: Average; Demonstrated Special Talent; Preference to students residing in the Lower East Side; Punctuality
HS,01M509,Marta Valle High School,M27A,Marta Valle High School,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
ES,01M539,"New Explorations into Science, Technology and Math High School",01M539GTC,Citywide  Gifted & Talented,Citywide G&T,,
HS,01M539,"New Explorations into Science, Technology and Math High School",M29A,New Explorations into Science Technology and Math,Screened,,Attendance and Punctuality; Course Grades: Average; Standardized Test Scores: Average
MS,01M539,"New Explorations into Science, Technology and Math High School",M539M,"New Explorations into Science, Technology & Math (NEST+m)",Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card
HS,01M696,Bard High School Early College,M51A,Early College,Screened,,Attendance; Course Grades: Average; Individual Interview (On-Site); Math Test (On-Site); Writing Exercise (On-Site)
MS,01M839,Tompkins Square Middle School,M839M,Tompkins Square Middle School,Screened,,Academic and Personal Behavior Scores; Attendance; Lateness; On-Site Assessment
ES,02M001,P.S. 001 Alfred E. Smith,02M001CH,Chinese Dual Language,Zoned,,
ES,02M001,P.S. 001 Alfred E. Smith,02M001KG,Kindergarten,Zoned,,
ES,02M002,P.S. 002 Meyer London,02M002KG,Kindergarten,Zoned,,
ES,02M003,P.S. 003 Charrette School,02M003KG,Kindergarten,Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) after all zoned students are admitted,
ES,02M006,P.S. 006 Lillie D. Blake,02M006KG,Kindergarten,Zoned,,
ES,02M011,P.S. 011 William T. Harris,02M011GTD,District Gifted & Talented,District G&T,"Priority to applicants eligible for free or reduced price lunch (based on family income), living in temporary housing and/or public housing for 30% of Kindergarten and 1st grade seats.",
ES,02M011,P.S. 011 William T. Harris,02M011KG,Kindergarten,Zoned,"Priority to applicants eligible for free or reduced price lunch (based on family income), living in temporary housing and/or public housing for 30% of Kindergarten and 1st grade seats.",
ES,02M033,P.S. 033 Chelsea Prep,02M033GTD,District Gifted & Talented,District G&T,,
ES,02M033,P.S. 033 Chelsea Prep,02M033KG,Kindergarten,Zoned,,
ES,02M040,P.S. 040 Augustus Saint-Gaudens,02M040KG,Kindergarten,Zoned,,
ES,02M041,P.S. 041 Greenwich Village,02M041KG,Kindergarten,Zoned,,
ES,02M042,P.S. 042 Benjamin Altman,02M042KG,Kindergarten,Zoned,,
ES,02M124,P.S. 124 Yung Wing,02M124GTD,District Gifted & Talented,District G&T,,
ES,02M124,P.S. 124 Yung Wing,02M124KG,Kindergarten,Zoned,,
ES,02M126,P.S. 126 Jacob August Riis,02M126KG,Kindergarten,Zoned,,
MS,02M126,P.S. 126 Jacob August Riis,M126M,Manhattan Academy of Technology/Jacob Riis (P.S. 126),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
ES,02M130,P.S. 130 Hernando De Soto,02M130GTD,District Gifted & Talented,District G&T,,
ES,02M130,P.S. 130 Hernando De Soto,02M130KG,Kindergarten,Zoned,,
MS,02M131,M.S. 131,M131M,Academic (Zoned Program),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
MS,02M131,M.S. 131,M131N,Special Progress,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
MS,02M131,M.S. 131,M131P,M.S. 131 Mandarin Dual Language Program,Screened: Language,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
HS,02M135,The Urban Assembly School for Emergency Management,M28A,The Urban Assembly School for Emergency Management,Ed. Opt.,,Attendance; Individual Interview (On-Site): Demonstration of Core Value; Punctuality
HS,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,M18A,Building Arts/Carpentry & Landscape Management in Historic Preservation,Ed. Opt.,,Attendance
ES,02M150,P.S. 150,02M150KG,Kindergarten,Non-Zoned,,
